grandi10,12.5,5.5
marutisuzukifronx,13.1,5.8
alto,11.3,4.9
swift,12,5
grandvitara,14,5
hondacity,14,5
scorpio,14,5
kiaseltos,14.2,5.8
bmwx1,14.8,6.1
bmwx7,16.9,6.5
